127.0.0.1 - - [07/Dec/2022:16:19:20 +0900] "GET / HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:09 +0900] "GET / HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:09 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /main/main.do HTTP/1.1" 200 11263
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/css/styles_footer.css?ver=1 HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/css/styles.css?ver=1 HTTP/1.1" 200 3717
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/Logo_AcLearn_%EC%B5%9C%EC%A2%85(1).png HTTP/1.1" 200 77337
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/2.webp HTTP/1.1" 200 28278
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/3.webp HTTP/1.1" 200 40576
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/1.webp HTTP/1.1" 200 569758
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr0101.png HTTP/1.1" 200 95134
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr0201.png HTTP/1.1" 200 27463
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr0701.png HTTP/1.1" 200 121023
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr0501.png HTTP/1.1" 200 15975
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr0301.png HTTP/1.1" 200 41365
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr0901.png HTTP/1.1" 200 103455
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr1001.png HTTP/1.1" 200 31398
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr0401.jpg HTTP/1.1" 200 73653
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/4.webp HTTP/1.1" 200 27226
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:14 +0900] "GET /resources/images/lctr0801.jpg HTTP/1.1" 200 39099
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:31 +0900] "GET /lctr/getLctrList.do HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:31 +0900] "GET /resources/images/heartYes.png HTTP/1.1" 200 14312
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:31 +0900] "GET /resources/images/lctr0601.png HTTP/1.1" 200 51674
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:44 +0900] "GET /lctr/updateLctrCnt.do?lctrCode=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:45 +0900] "GET /lctr/updateLctrCnt.do?lctrCode=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:45 +0900] "GET /lctr/getLctr.do?lctrCode=2 HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:45 +0900] "GET /lctr/getLctr.do?lctrCode=2 HTTP/1.1" 200 18848
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:46 +0900] "GET /resources/images/lctr0202.jpg HTTP/1.1" 200 3376621
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:20:46 +0900] "GET /resources/images/user.png HTTP/1.1" 200 19293
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:21:02 +0900] "GET /user/login.do HTTP/1.1" 200 5348
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:32:42 +0900] "GET /lctr/getLctrList.do HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:32:43 +0900] "GET /lctr/getLctrList.do HTTP/1.1" 200 10622
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:32:43 +0900] "GET /lctr/getLctrReviewList.do HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:32:57 +0900] "GET /lctr/updateLctrCnt.do?lctrCode=5 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:32:57 +0900] "GET /lctr/getLctr.do?lctrCode=5 HTTP/1.1" 200 18767
0:0:0:0:0:0:0:1 - - [07/Dec/2022:16:32:57 +0900] "GET /resources/images/lctr0502.png HTTP/1.1" 200 49121
